Show Title,Broadcast Start,Broadcast End,Host,Description
Souvenir Shop Show,2026-03-29T20:00:00-05:00,2026-03-15T22:00:00-05:00,Beab,Beab plays music and talks radio
Show Title Test,2026-03-29T10:00:00-05:00,2026-03-16T12:00:00-05:00,Swag,Swag tests radio
We are testing ,2026-04-17T15:00:00-05:00,2026-03-17T18:00:00-05:00,Vibe Mane,Vibe Mane plays for awhile
One more test,2026-04-18T15:00:00-05:00,2026-03-18T17:00:00-05:00,Cool DJ,Cool Djs Play
How about another test,2026-04-20T15:00:00-05:00,2026-03-20T17:00:00-05:00,Dj Fish 
Souvenir Shop Show,2026-04-21T20:00:00-05:00,2026-03-22T22:00:00-05:00,Beab,Beab plays music and talks radio
Show Title Test,2026-04-23T10:00:00-05:00,2026-03-23T12:00:00-05:00,Swag,Swag tests radio
We are testing ,2026-04-24T15:00:00-05:00,2026-03-24T18:00:00-05:00,Vibe Mane,Vibe Mane plays for awhile
One more test,2026-04-25T15:00:00-05:00,2026-03-25T17:00:00-05:00,Cool DJ,Cool Djs Play
How about another test,2026-04-26T15:00:00-05:00,2026-03-20T17:00:00-05:00,Dj Fish,Dj fish swims by
